title,review_counts,address,search_keyword,LATITUDE,LONGITUDE,X,Y,score,keyword_len
Gardens by the Bay,59519,"18 Marina Gardens Drive Bayfront Plaza, Singapore 018953 Singapore",018953,1.28175820937716,103.861585715892,31145.9012881126,29355.8477973901,0,6
Singapore Mass Rapid Transit  (SMRT),24046,Singapore 069112 Singapore,069112,1.27935389427121,103.846195973221,29433.1499879742,29089.9773092363,0,6
Singapore Zoo,22349,"80 Mandai Lake Road, Singapore 729826 Singapore",729826,1.40354764653419,103.788541352688,23016.9069925584,42822.7312948909,0,6
Singapore Botanic Gardens,19802,"1 Cluny Road, Singapore 259 569 Singapore",259569,1.32215664251126,103.818185872471,26315.8802799666,33822.8862460125,0,6
Singapore Flyer,17334,"30 Raffles Avenue, Singapore 039803 Singapore",039803,1.28971341772819,103.863372152589,31344.7067626007,30235.4960309863,0,6
Sands Skypark Observation Deck,16867,"10 Bayfront Avenue Level 57, Marina Bay Sands Hotel, Singapore 018956 Singapore",018956,1.28257452719678,103.858562162091,30809.4035472879,29446.1084987707,0,6
Cloud Forest,14915,"18 Marina Gardens Drive, Singapore 018953 Singapore",018953,1.28175820937716,103.861585715892,31145.9012881126,29355.8477973901,0,6
Chinatown,14399,"Crot Trengganu, Singapore 048942 Singapore",048942,1.28429450300965,103.850619088072,29925.4032921894,29636.2872044165,0,6
National Orchid Garden,13813,"1 Cluny Rd Within the Singapore Botanic Gardens, Singapore 259569 Singapore",259569,1.32215664251126,103.818185872471,26315.8802799666,33822.8862460125,0,6
Orchard Road,13501,Singapore Singapore,Orchard Road,1.30409785787898,103.832251902468,27881.2886395724,31826.0335668381,1.0,12
Marina Bay,12991,"Marina Boulevard, Singapore 018980 Singapore",018980,1.27962579891799,103.854987203774,30411.5427663736,29120.0497012436,,6
Night Safari,12149,"80 Mandai Lake Road, Singapore 729826 Singapore",729826,1.40354764653419,103.788541352688,23016.9069925584,42822.7312948909,0,6
Merlion Park,9550,"1 Fullerton Road One Fullerton Merlion Park, Singapore 049213 Singapore",049213,1.2856262335848,103.853982431458,30299.7143710516,29783.5458788816,,6
Flower Dome,6480,"18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore",018953,1.28175820937716,103.861585715892,31145.9012881126,29355.8477973901,0,6
Buddha Tooth Relic Temple and Museum,6426,"288 South Bridge Road, Singapore 058840 Singapore",058840,1.28149438480275,103.844241653043,29215.6489182506,29326.660683373,0,6
Supertree Grove,5975,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",018953,1.28175820937716,103.861585715892,31145.9012881126,29355.8477973901,0,6
Jurong Bird Park,5207,"2 Jurong Hill, Singapore 628925 Singapore",628925,1.32076873035235,103.706127003722,13844.8234654684,33669.7751358226,0,6
Waterfront Promenade,4408,Singapore Singapore,ESPLANADE THEATRE,1.28986000006992,103.855277979198,30443.8940046066,30251.6951531917,,20
Singapore Cable Car,4168,"109 Mount Faber Road Faber Peak, Singapore 099203 Singapore",099203,1.2712732648272,103.81940927888,26452.0023038434,28196.4637057837,0,6
Little India,4054,"Serangoon Road, Singapore Singapore",Little India,1.30971192399962,103.85343473875,30238.7395783896,32446.8170489874,1.0,12
Clarke Quay,3388,"3 River Valley Road Clarke Quay Nearest Train Station: NE5 Clarke Quay MRT and DT20 Fort Canning Station, Singapore 179019 Singapore",Clarke Quay,1.29044567334673,103.845688049938,29376.6162954904,30316.4486917462,,6
Maxwell Food Centre,3268,"1 Kadayanallur Street, Singapore 069184 Singapore",069184,1.28033024426041,103.844733511515,29270.3893235028,29197.9362757877,0,6
Mustafa Centre,3053,"145 Syed Alwi Road Mustafa Centre, Singapore 207704 Singapore",207704,1.31053493112423,103.855002052529,30413.1660988769,32537.8224033024,0,6
River Safari,3007,"80 Mandai Lake Road Singapore Zoological Gardens, Singapore 729826 Singapore",729826,1.40354764653419,103.788541352688,23016.9069925584,42822.7312948909,0,6
The Helix Bridge,2899,"Linking between Marina Bay and Marina Centre, Singapore 038981 Singapore",038981,1.28986000006992,103.855277979198,30443.8940046066,30251.6951531917,0,6
National Museum of Singapore,2814,"93 Stamford Road National Museum of Singapore, Singapore 178897 Singapore",178897,1.29678050415467,103.848412787752,29679.8521555243,31016.9232650921,0,6
Battlebox,2460,"2 Cox Terrace Fort Canning Park, Singapore 179622 Singapore",179622,1.29539439356249,103.846102463773,29422.734260221,30863.652884772,,6
Arab Street,2300,Singapore 199669 Singapore,199669,1.30102793608132,103.859690165744,30934.9199420819,31486.5927186161,,6
Asian Civilisations Museum,2191,"1 Empress Place Empress Place Building, Singapore 179555 Singapore",179555,1.28757127097357,103.851418279632,30014.3441278711,29998.6159149557,0,6
The Shoppes at Marina Bay Sands,2187,"10 Bayfront Avenue Marina Bay Sands, Singapore 018972 Singapore",018972,1.28332249857386,103.857629111139,30705.5618437575,29528.814311415,0,6
Singapore River,2147,"Boat, Clarke, Robertson Quays, Singapore Singapore",Singapore River,1.29252114167383,103.834651366907,28148.3277443098,30545.9399691988,1.0,15
The Changi Museum,2051,"1000 Upper Changi Road North, Singapore 507707 Singapore",507707,1.36220359959859,103.973915343225,43646.7824182222,38251.5250657499,0,6
MacRitchie Nature Trail,1843,"MacRitchie Reservoir Park, Singapore 298717 Singapore",298717,1.33997472180222,103.832977366621,27962.0267305952,35793.1129971445,,6
Raffles Hotel Arcade,1715,"1 Beach Road Raffles Hotel, Singapore 189673 Singapore",189673,1.29509740789339,103.85406834457,30309.2672493933,30830.8195986319,0,6
ArtScience Museum at Marina Bay Sands,1649,"10 Bayfront Avenue Marina Bay Sands, Singapore 018956 Singapore",018956,1.28257452719678,103.858562162091,30809.4035472879,29446.1084987707,0,6
