code_string,code_num,BUILDING,POSTAL,X,Y,LATITUDE,LONGITUDE
TE,1,WOODLANDS NORTH,737668,22699.9912448721,47770.3945726696,1.4482924525962,103.785692682441
TE,2,WOODLANDS,737736,22949.9191319831,46417.5223346148,1.43605761708128,103.787938777173
TE,3,WOODLANDS SOUTH,737741,23542.5545697259,45459.758821588,1.42739605281442,103.79326432221
NS,1,JURONG EAST,609690,17869.0570516568,35038.9688695427,1.33315281585761,103.742286332403
NS,2,BUKIT BATOK,659958,18679.3223191258,36794.9260214306,1.34903331201636,103.749566478309
NS,3,BUKIT GOMBAK,659083,18926.9127006577,37854.0358848721,1.35861159094192,103.751790910733
NS,4,CHOA CHU KANG,689810,18101.2472041463,40812.1216052417,1.38536316540225,103.744370779756
NS,5,YEW TEE,689715,18438.9831173802,42158.0181021616,1.39753506936297,103.747405150236
NS,7,KRANJI,738702,20078.5865077013,45204.5168451127,1.42508698073648,103.762137459497
NS,8,MARSILING,739044,21407.0413211482,46026.5125302058,1.43252114855026,103.774074641403
NS,9,WOODLANDS,738343,22741.5981903812,46501.7861009166,1.43681962961518,103.786066799253
NS,10,ADMIRALTY,738344,24402.3844474982,46918.5022012144,1.44058852001081,103.800990500189
NS,11,SEMBAWANG,759775,26522.9882623879,47854.1998395547,1.44905082158502,103.820046140211
NS,12,CANBERRA,756972,27597.5969376964,47193.6008830499,1.44307664075698,103.829702590959
NS,13,YISHUN,769093,28187.6788169928,45686.0705381557,1.42944308477331,103.835005047246
NS,14,KHATIB,769092,27962.3108561579,44352.5679935999,1.41738337009565,103.832979908243
NS,15,YIO CHU KANG,569813,29294.1262330338,40413.0626359228,1.38175587099131,103.84494727118
NS,16,ANG MO KIO,569811,29807.2611468043,39105.7359950263,1.36993284962262,103.84955809232
NS,17,BISHAN,579827,29649.8988074977,36994.4330169763,1.35083898784737,103.848143964542
NS,18,BRADDELL,319756,29500.2349482412,35847.7719815206,1.3404690010277,103.846799083148
NS,19,TOA PAYOH,319398,29578.4890669128,34980.8962922301,1.33262928096888,103.847502198048
NS,20,NOVENA,307642,29169.3297925005,33633.1535391063,1.32044079120154,103.843825618748
NS,21,NEWTON,228234,28519.2830723543,32735.0770371091,1.31231892240969,103.837984594021
NS,22,ORCHARD,238878,27880.5544290915,31812.9941194523,1.3039799337073,103.832245305297
NS,23,SOMERSET,238162,28641.8346576076,31402.1245223526,1.30026416739004,103.839085753124
NS,24,DHOBY GHAUT,238826,29423.9804536467,31229.3163704202,1.29870132536119,103.846113677951
NS,25,CITY HALL,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366
NS,26,RAFFLES PLACE,048618,30019.180527918,29617.6125848945,1.28412561043657,103.851461712342
NS,27,MARINA BAY,018925,30367.9547207942,28764.4959340338,1.276410298755,103.854595522263
NS,28,MARINA SOUTH PIER,018948,31241.8260070179,28169.2510934137,1.27102703612006,103.862447515736
NE,1,HARBOURFRONT,098867,26688.0367021402,27545.8534260485,1.26538938374901,103.821530157095
NE,3,OUTRAM PARK,059816,28681.2492930563,29130.5222722683,1.27972059383555,103.839439862425
NE,4,CHINATOWN,059443,29124.9480295833,29643.4802091382,1.28435959278582,103.843426681863
NE,5,CLARKE QUAY,059815,29473.1249443376,30088.7037861496,1.28838602407587,103.846555209694
NE,6,DHOBY GHAUT,238889,29354.3680562023,31340.347900534,1.29970545852797,103.845488184359
NE,7,LITTLE INDIA,229900,29817.2085683132,32124.850180177,1.30680019696174,103.849647059738
NE,8,FARRER PARK,218703,30243.5206485614,32689.3795552086,1.31190557325774,103.853477716509
NE,9,BOON KENG,328260,31144.045013207,33510.9746132698,1.31933570922513,103.861569454156
NE,10,POTONG PASIR,347694,31977.1667550961,34842.7250955887,1.33137949021367,103.869055656782
NE,11,WOODLEIGH,347695,32173.3185749156,35706.3793633711,1.33919004519388,103.87081830915
NE,12,SERANGOON,534801,32480.0729367165,36869.3930099793,1.34970788089564,103.873574849884
NE,13,KOVAN,534799,33758.7578018578,38027.2794417515,1.36017917065237,103.885064856353
NE,14,HOUGANG,538758,34572.8752453458,39256.1282835789,1.37129226620797,103.892380513029
NE,15,BUANGKOK,545061,34655.4250568021,40536.3401684985,1.38287001971672,103.893122569706
NE,16,SENGKANG,545062,34918.2740132138,41512.1276907362,1.3916946260152,103.895484694279
NE,17,PUNGGOL,828868,35651.382800173,42933.2482692804,1.40454653668991,103.902072622229
EW,1,PASIR RIS,519634,40905.597462655,39449.9823396821,1.37304331635804,103.949284527763
EW,2,TAMPINES,529538,40444.9732025806,37267.0262664594,1.35330167637375,103.945144586749
EW,3,SIMEI,529888,41361.2281713123,36149.7527796105,1.34319707851829,103.953377214378
EW,4,TANAH MERAH,467356,40579.0997793637,34379.4316836372,1.32718729074673,103.946348600798
EW,5,BEDOK,467347,38757.952049505,34024.7047772072,1.32397996868158,103.929984495066
EW,6,KEMBANGAN,416551,36861.9614935443,33699.3440501876,1.3210381335934,103.912947930851
EW,7,EUNOS,409423,35779.9889810132,33560.585745465,1.31978354779205,103.903225812967
EW,8,PAYA LEBAR,409006,34648.7236344032,33375.6688563768,1.31811149224527,103.893060771576
EW,9,ALJUNIED,388310,33518.6048692847,33190.002017457,1.3164326118157,103.882906044385
EW,10,KALLANG,387405,32236.6038438473,32643.3302382641,1.3114889099882,103.871386541754
EW,11,LAVENDER,208699,31277.4062337531,32188.7337866109,1.30737781747062,103.862767633888
EW,12,BUGIS,188022,30491.5350240096,31424.2825327814,1.3004644634548,103.855706146461
EW,13,CITY HALL,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366
EW,14,RAFFLES PLACE,048618,30019.180527918,29617.6125848945,1.28412561043657,103.851461712342
EW,15,TANJONG PAGAR,069119,29380.7567437869,28781.1883335691,1.27656131737246,103.845725186759
